date,reproduction_rate
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,3.0985
2020-01-24,3.3029
2020-01-25,3.49005
2020-01-26,3.5715500000000002
2020-01-27,3.62965
2020-01-28,3.62945
2020-01-29,3.27515
2020-01-30,3.04445
2020-01-31,2.82
2020-02-01,2.67755
2020-02-02,2.58175
2020-02-03,2.34585
2020-02-04,2.1060499999999998
2020-02-05,1.96935
2020-02-06,1.7464
2020-02-07,1.62155
2020-02-08,1.5029
2020-02-09,1.4267500000000002
2020-02-10,1.41235
2020-02-11,1.4217
2020-02-12,1.5684
2020-02-13,1.7690000000000001
2020-02-14,1.50715
2020-02-15,1.20665
2020-02-16,0.9773499999999999
2020-02-17,0.81745
2020-02-18,0.67535
2020-02-19,0.5843
2020-02-20,0.47885
2020-02-21,2.2684
2020-02-22,1.9510750000000001
2020-02-23,1.634425
2020-02-24,1.8467399999999998
2020-02-25,1.72178
2020-02-26,1.72928
2020-02-27,2.254516666666667
2020-02-28,2.1559833333333334
2020-02-29,2.0998666666666668
2020-03-01,2.05595
2020-03-02,2.1048222222222224
2020-03-03,2.1470363636363636
2020-03-04,2.0544727272727275
2020-03-05,2.1292500000000003
2020-03-06,2.2096714285714287
2020-03-07,2.226364705882353
2020-03-08,2.1754470588235293
2020-03-09,2.1552
2020-03-10,2.1488684210526316
2020-03-11,2.1245000000000003
2020-03-12,2.0353559999999997
2020-03-13,2.004515384615385
2020-03-14,1.9784818181818182
2020-03-15,1.9184976190476188
2020-03-16,1.9268744680851064
2020-03-17,1.9125255319148937
2020-03-18,1.8938901960784313
2020-03-19,1.8736543859649122
2020-03-20,1.889857142857143
2020-03-21,1.8551507462686567
2020-03-22,1.8271169014084507
2020-03-23,1.7619564102564103
2020-03-24,1.708725925925926
2020-03-25,1.6370511627906976
2020-03-26,1.6043056818181818
2020-03-27,1.5633510638297874
