continent,total_cases,total_deaths,population,cases_per_million,deaths_per_million
Africa,13064432.0,258288.0,1445862695.0,9035.734890442,178.6393693489685
Asia,302204311.0,1637901.0,4746329727.0,63671.158217449316,345.0879088072256
Europe,254960114.0,2111758.0,748296168.0,340720.86013943073,2822.0884862262187
North America,124521655.0,1717393.0,604356255.0,206040.15259178545,2841.689791065371
Oceania,15032781.0,33170.0,45049680.0,333693.40248365805,736.2982378565175
South America,69395641.0,1356693.0,430492816.0,161200.46240214145,3151.488130756635
